review,sentiment
this is beyond stupid two high school graduates travel to nantucket for the summer and find situations there that are absolutely revolting demi moore co stars in this one as the film was in 1986 was ashton kutcher just a babe in the woods at that time moore s grandfather has died and his home is on the verge of being sold to ruthless people with a father and son who bring a new meaning to the term mean bobcat goldthwait with that obnoxious voice is in the film as well as two brothers who make dumb and dumber look more and more intelligent the writing is absolutely ridiculous highlights of the stupidity are where one person says to the other did you ever notice that when people die they go alphabetically in the papers i rest my case ,0
silly movie is really really funny yes it s got its dead moments it can be a bit too obvious it declines a bit in the second half and the story is an incoherent mess but it s laugh out loud funny all the way and it s worth seeing just for ed mcmahon as a right wing kook this movie is in the same class as elvira mistress of the dark another incredibly funny underappreciated film ,1
the eternal jew der ewige jude does not have what we today would call the markings of a scholarly document rather than naming experts or sources to support what it says it simply says without opposition what it wants us to believe one will concede that american newsreels of that period were also much less regulated than would seem ethical to a modern audience often inserting dramatized scenes and passing them off as actual news footage add to this directed propaganda the fact that filmmaker hippler was preaching to the converted not so much asking gentile europeans to hate the jews as validating the feelings so many of them must have held already in order to have allowed the holocaust that followed the weakest link in the film s logic shows in its rat analogy wherein it goes on to explain the behavior of rats and then adds something to the effect of well jewish people are like that too similarly it characterizes jewish people as ugly by showing ugly jewish people in comparison to attractive gentiles the accompanying leap of faith is that ugly is bad the film appears to contradict itself a few times for example by attacking western painters who portrayed old testament characters as light skinned europeans thereby the text admits that so called hebrew ethnicity is in fact an ingrained aspect of christian culture it also shows ghetto jews willingly living in roach infested filth despite the supposed treasure they ve hoarded and then flip flops by saying that these same undesirables live in wealth and luxury as soon as they leave the ghetto incidentally who wouldn t the use of scenes from a well known american film house of rothschild shows an equally blurry deployment of logic first the film is denounced as having been made by jews then it is apparently used by hippler to verify the deceptiveness of jews the aforementioned pretense of poverty by ghetto jews shown as a means of avoiding taxation although the rothschild character s spin is that jews are taxed excessively finally the rothschild film is once again execrated for implying that the famed banking family invented the checking account this apparent indecisiveness in whether the american footage is shown positively or negatively might become clearer with repeated viewings but at first sight it makes for some murky moviewatching for all of eternal jew s imperfections i was at first surprised that the imdb viewer rating for this film is as high as it is just shy of a 5 to date i d say the reason is that ej s documentary value has exceeded its original purpose offering us unintentionally a look into the lives of european jews as they would not be seen a few years hence needless to say the film s very badness also provides an historical insight into bad or simply evil filmmaking as a propagandist s tool about this time i should expect director hippler to flip flop once again springing forward to say that s what i meant to do all along the scenes depicting animal slaughter are particularly gruesome and show same as decidedly inhumane contrary to the intent of kosher law to prevent animal suffering i would like for someone who has seen the film and has some knowledge of these procedures to comment on whether the portrayal is accurate ,0
a meteor crashes into crater lake the heat from the impact causing a prehistoric egg to hatch alright so the plot is just trash but despite its obvious low budget this comes across as one of the most gripping and entertaining monster on the loose films in existence there are also some good moments of humor in an age filled so called monsters which are no more than laughable men in rubber suit creations or lizards dressed up in frills and forced to rip each other to pieces cheap exploitation style it s refreshing to discover that the plesiosaur in this little gem is an excellent harryhausen style stop motion creature quite a hard film to find but it s worth finding ,1
wow thank god i was on an airplane and could look out the window bad hollywood fire scenes predictable terribly acted who the hell was that awful woman who played the wife badly casted awfully written this movie was apparently made to appeal to the type of person who s willing to kneel at the alter of either firemen specifically heroes or gods in general i suppose i just don t have enough bad things to say about this film it couldn t have been cheap either with all the stars that were in it plus all those special effects and fire scenes had to have cost a fortune yet it still sucked worse than any movie i can even remember seeing funeral scene astonishingly bad courtship between fireman and aforementioned awful woman corny contrived trite firehouse pranks don t we all wish we could be both so manly and churlish at the same time ,0
worst movie of all time wow whoa now you cannot be serious maybe it s all about what you expect a movie to do to you i live in oregon so i got to enjoy the beautifully filmed shots of familiar yet still amazingly beautiful smith rocks and other areas in central oregon as well as the sweet cameo of our own ken kesey and ken babbs looking down on baby sissy s cradle at the beginning of the movie those alone were enough to spur me to give the movie a better than average score or maybe it s all about what expectations you have having read the book ages ago and thinking to myself goodness no one could ever make a movie out of this interesting quirky weird book especially 20 years later when mores morays can t put in the accent mark online have changed i was actually quite pleasantly surprised when i first watched the movie when it came out in 1994 and even liked it more today watching it again sissy was exquisitely cast and i don t care what you all say i was also pleasantly surprised at rain phoenix s and john hurt s performances i am not a lesbian nor bi nor trans but have met many folks who are similar to the folks they were supposed to portray and those real folks kinda acted the same way as these actors acted stilted a bit stage ey always a bit on gus van sant is one weird native oregonian but by garsh he done a good job adapting this crazy book imho ,1
dear richard i know we all loved you on home improvement with tim allen but seriously do you not have anything else to do besides lame sequels to air bud i would have thought tim might have actually give you a bit role by now or even becoming his personal assistant i know that seems ironic but the pay benefits are much more rewarding everybody would see you around tim and instantly think tool time you would even get roles with bob vila more often instead you appear for 10 minutes with a golden retriever and smiling i know there wasn t much of a script but you could have added to it i mean come on tim owes you one but seriously this movie does nothing for the air bud line quite the contrary the fake talking puppies are cornier than actually seeing the dogs play sports the original was better and you mr richard karn know that more than anybody this is an f movie ,0
i remember watching this as a child in the uk mesmerized by the story and laurence olivier s narration we would talk about nothing else at school the next day i imagine the ratings for the first showing were huge this is quite simply the best most comprehensive documentary series despite the fact they had to cut the story down to the bone they managed to capture so much what is interesting is that the battles of britain and north africa were pivotal yet are widely unrecognized as such by americans the series captures the rivalry between mountbatten and the american generals the suffering of german troops on the eastern front the maltreatment of japanese prisoners of war by american troops the images of the holocaust made me a non jewish european feel forever guilty about the treatment of the jewish people i don t know why this is not number one in the imdb rankings perhaps they are showing their bias against documentaries spoiler we win ,1
just plain terrible nick and michael are way better actors than this a c rated flick at best the plot was weak and the characters totally undeveloped even the film and sound quality was terrible i suppose that these were all young actors at the time and this script just filled a job nitch ,0
great film a very worthy 7 10 tom hanks was at his usual best the heavy drinking congressman who saved afghanistan from its communist oppressors based upon a true story tells us how the west throws money and arms at a problem and expect it to go away well it did go away albeit temporarily look who we the british amongst others are now fighting the very same people who the us gave arms training and money to in the 80s this film was always going to provoke political thoughts by the people who watch it but it does portray a very nice story however once the main objective is achieved i e ridding the communists from afghanistan it is seen how quickly the plight of people is forgotten about this film was good it was a well deserved 7 10 it told the story of the communist invasion of afghanistan and the subsequent covert operation by the us to some detail and was dramatised well although being a good film i will recommend it to people but some people will not enjoy it particularly is a serious film about good us v evil russia isn t your thing ,1
step up is a fair dance film about some kids that get their big performance break the film is average in every way with little more for the viewer a jock fights external prejudices to become a dancer with an accomplished partner and a teach who sees something special the acting was fine but the dialog and directing had little to add to overcoming a predictable story none the less you still feel quite good about the outcome of the film there were some dark scenes and some typical generalizations about dancers that went a little overboard this is a class b film with moderate continuity errors and dialog mishaps the scenery was good and the characters held true to life it is worth the watch if you like that kind of film ,0
well was morgan freeman any more unusual as god than george burns this film sure was better than that bore oh god i was totally engrossed and lmao all the way through carrey was perfect as the out of sorts anchorman wannabe and aniston carried off her part as the frustrated girlfriend in her usual well played performance i for one don t consider her to be either ugly or untalented i think my favorite scene was when carrey opened up the file cabinet thinking it could never hold his life history see if you can spot the file in the cabinet that holds the events of his bathroom humor i was rolling over this one well written and even better played out this comedy will go down as one of this funnyman s best ,1
this film is not one of those films so bad you get annoyed and mad because it seems to be so up its own arse and yet it completely not funny it s just that there is nothing of interest in this film there are no real jokes that make you amused you just watch for 80 minutes then turn it off i bought this on very budget dvd and i m glad because it s not worth much this isn t even one of those films that s so bad you can watch it with friends when getting drunk high and have a good giggle i didn t hate it like i hate some films but it is rather boring and not worth investing any time in the only people who voted 10 on the votes for this film must have been connected to it somehow because i cannot imagine anyone actually liking this film other than small children passing time,0
this movie is a hidden gem i can t understand why this movie doesn t get more air time errol and eleanor parker make for a real attractive and dashing couple and their chemistry is impeccable i really liked the touch of his daughters reference to him as being her robin hood i highly recommend this to anyone who enjoys errol flynn it s nice to see errol playing a father as well by all accounts from his very own children he was a very attentive and loving father in real life also the supporting cast is wonderful as well you can t go wrong with supporting players such as hattie mcdaniel and lucile watson hattie mcdaniel makes a movie that much better from the get go this movie has now become a holiday tradition in my home enjoy ,1
i like the show but come on writers get some action in it quit dragging it on and on you have a great concept and it could be a whole lot more miles jenkins is great and performs as a kid that age should act in the situation he finds himself in hey get creative with the creatures they may have telepathic capabilities or other out worldly powers the kid actors in the series are very good and convincing the parents of miles do appear to be a little too out of sense as to what is going on but develop this come on you have a great seed here and there can be a whole new twist to next season with a lot of new characters and creatures and all kinds of neat sci fi stuff if they could make a series on a witch then you should be able to make one on these creatures and kids ,1
this might be unbelievable but this movie has grossed 878 138 in russia it s shown in almost all cinema theaters and still running well i have no idea why distributors put their eye on this particular uh movie which had almost no screening around the world that s some kind of enigma haha maybe it was based on the fact that another movie pledge this with paris hilton which was as well released only dvd almost everywhere had major screenings in russia and grossed more than 1mln besides both movies had a lot of promotion like there were the banners all over the city tv commercials and etc speaking about movie i d say it s dull and absolutely boring it could be better really even if it has jessica simpson ,0
 i cannot believe i was hooked on this show instantly after seeing the first scene i was in it deep anyway first of all the guys are hot cappy evan calvin fischer cappy heath cappy etc secondly the girls are cute sexy smart and are not afraid of being called bitches i like that which at the same time doesn t make them mean and greedy just realistic third the relationships are so great especially casey and cappy lately every show turns very away from it s original path and people end up with someone who wasn t even in the first season cappy and casey s relationship is true love a kind that lasts they loved each other throughout the years and it didn t end when a guest star appeared in todays world maybe it s kind of unbelievable for two people to love each other for a long time but it happens and people define each other in college so i knew exactly who i wanted to be with in college just like casey and cappy i hope there are many more seasons of this show and i hope we can see the relationship between casey and cappy now that they will probably stay together at thanksgiving love this show,1
being that i am not a fan of snoop dogg as an actor that made me even more anxious to check out this flick i remember he was interviewed on jay leno and said that he turned down a role in the big budget adam sandler comedy the longest yard to be in this film so obviously snoop was on a serious mission to prove that he has acting chops i m not going to overpraise snoop for his performance in the tenants there are certainly better rapper actors like mos def who could ve done more with his role but the point is snoop did a good job he can t seem to shake off some of his trademark body movements and vocal inflections but that s something even jack nicholson has a problem doing the point is i found him convincing in the role and the tension between him and dylan mcdermott s character captivating mcdermott by the way gives the best performance in the film though his subtle acting will most likely be overshadowed by snoop s not so subtle acting being a big reader and aspiring writer myself i couldn t help but find the characters and plot somewhat fascinating it did aggravate me how snoop s character would constantly ask mcdermott to read his work and berate him for criticizing it but you know what i m sure a lot of writers are like that his character was supposed to be flawed as was mcdermott s in his own way my only mild criticism of the film would be its ending for some reason it just felt too rushed for me though the resolution certainly made sense and was motivated by the characters rather than plot ,1
now i know that sandra bullock produced this film but she needs to learn that sometimes you need to make certain sacrifices in order to advance the story like not trying to make the whole movie about her character the story is about two high school students one rich and popular the other smart and anti social who formulate a plan to commit murder and follow it by the number just to see if they can get away with it enter sandra bullock and ben chaplin as detectives trying to solve the case the boys have planted evidence created alibis and cleaned up after themselves so well that the cops fall for the whole act but sandra has a feeling that all is not as it appears to be this movie could have been a great little hitchcock style thriller but the movie spends too much time on getting to know sandra s character rather than focusing on the actual crime itself you see something happened in her past that keeps haunting her throughout the film and we get to know all about it all about it it just gets rather tedious after a while especially when you are right in the middle of an intriguing murder investigation and then have to stop that investigation to hear about what happened to her in the past ryan gosling and michael pitt are the real winners in this movie they play their characters convincingly and with just the right amount of malice if the script had spent more time focusing on these characters and kept the detectives there to just do their jobs this could have been an immensely entertaining thriller with the way it is most of the thrill is lost they should have cut out all the stuff with sandra s character and made that a separate tv movie for the lifetime channel but i digress it s still an entertaining movie nonetheless i do recommend this movie but wait for the video dvd ,1
this movie is só incredibly unfunny it makes any man want to cry the cliché are put on thicker than 5 year old peanut butter and in such a way that it actually sucks humour out of your heart every single joke was badly timed and wouldn t have been funny if it were timed correctly don t see this movie there s a real chance you ll never be able to enjoy going to comedies again ever ,0
the thing that stands out in my mind in this film sadly is the introduction where john berlin andy garcia is driving into town you see his mercedes pass on a winding road through a forest that looks like its loaded with redwood trees it s quite beautiful as to andy garcia playing a character with the last name of berlin well andy is just too hispanic latin for it to be passable maybe a caucasian father married his spanish mother for this story who knows but i can tell you that when you put him in a town of farm folks and hicks he stands out like a sore thumb especially with his accent that flares up when he gets angry yeah i know big deal right he s still a good actor the title concerns a serial killer who nicknames his victims jennifer all of the victims are blind and he dismembers them the killer has taken a hiatus but suddenly resurfaces when a blind witness don t ask appears helena robertson uma thurman thurman does a good job of playing a blind person to my surprise when i saw lance henriksen playing sgt freddy ross i got worried henriksen s played in some pretty strange films especially of late i still can t forget him in the bloodbath movie pumpkinhead berlin movies into a small town from l a as a detective he begins investigating the jennifer murders after finding body parts in the local landfill his brilliance in discovering one of the victims was blind seemed far fetched so did the irony of spoiler freddy s murder with the recording and name similarities i got very confused as to the logic of how there came to be eight jennifers and the motive of the killer as simply deranged didn t pack much of a punch in retrospect this film is probably more true to life in showing an unsuspecting individual as capable of murder simply because they became a little wacko over time or maybe were born looney toons john malkovich does a stupendous job in his interrogation of garcia albeit no cop would legally be allowed to press someone that hard and egg them on without rightfully get knocked out as to the ending it is a bit of a surprise but is highly arguable much like sgt ross murder the killer chooses to walk after his running victim opting instead to frolick i guess and there are so many opportunities he has in killing her that it s ridiculous i won t ruin the very end because despite it s shakiness it s a good surprise afterward though you ll probably say as i did boy was she lucky 4 10,0
this is a charming movie starring everyone s favorite cartoon chipmunks in this feature we follow the band of rodents on an unforgettable balloon race around the world although there are lows including an orphan penguin all in all it s a great family film ,1
this is the best direct to dvd effort from van damme that i have seen yet van damme plays a border patrol agent who is out to stop heroin smugglers trying to cross into the united states the action in this movie is great and the fight scenes rank with van damme s best costar scott adkins shows why he should be the next big star in the martial arts genre for further evidence check out undisputed 2 adkins is so good in fact that before i watched the shepherd i thought that van damme might not look very believable in defeating him on screen van damme holds his own though and although he isn t quite as athletic as adkins is he can still kick with the best of them all of the fight scenes in this film are very well done and the gun battles are above average for this type of film as well the only negative thing i can say about this movie is that the story is a little underdeveloped i think van damme s character s motives should have been presented earlier in the movie especially in regard to why he carries around a rabbit the reason he does is very cool but you don t find out until the very end there are a couple of other things that are never really explained either but this is a van damme movie so you know where the priority lies in making this kind of movie and it ain t character development overall though this is a solid action movie that i recommend so run for the damme border ,1
this film was basically set up for failure by the studio one anne rice author of the book offered to write the screen play but was refused by the studio two they tried to stuff 2 in depth novels in to a 2hour movie i maintain the only way for these two books vampire lestat and queen of the damned to work in a live action form would be through a mini series first off the the vampire lestat alone takes place from the 1700 s to the 1980 s and has a plethora of character vital to the plot understanding of the main character lestat the entire book vampire lestat sets up the events of the second part queen of the damned without that full understanding the premise of a movie is destroyed lestat was not cruel and vicious to all he was not wanting to go along with akasha s plans marius did not make lestat lestat did not love jesse or make her lestat could not go remain unscathed by the light marius was not after david nor the other way around every character was completely represented wrong basically same names different story if they wanted to make a vampire movie fine even if you wanted to be inspired by these novels fine but don t piggie back into the theaters off the success of rice s great novels and characters just to destroy what her loyal readers have come to love if you haven t read the books you won t understand the film really if you have read the books you will be insulted that being said i am such a huge fan i had to see the movie knowing full well this was going to be the case and still went for it catch 22 must see it will hate it ,0
i was probably one of the few australians not watching the tennis when this series aired i have to say when william mcinnes first appeared i though that is one crappy actor but as the series continued he toned down his performance and i totally loved him he was such a rotten guy but he did make me laugh i watched the show to see hugo speers heart and bones the full monty and tom long seachange two hands it was interesting to see speers play a nice quiet man and even more interesting to watch tom longs rippling muscles sigh seriously long s performance was a total shock and really brilliant he stole the show martin sacks was good also in a small role and the leading actress put in an entertaining performance i d recommend this programme if you enjoy stories with a twist and watching tom long walk around with no shirt on ,1
charles bronson continued his 80 s slump with what could possibly be his worst movie of the decade if not ever in it he plays a detective who goes to great lengths to track down a pimp who has abducted an asian girl and is currently selling her to the highest bidder it s a shameful attempt at action and is quite possibly the most depressing movie ever made a lot of people consider the death wish sequels to be bronson s worst movies the death wish sequels weren t great movies but were in most cases competently made and very watchable kinjite however is an utterly dull thriller which is punctuated by mean spirited racism and child molestation it really is a rephrensible film and all of it is made worse by the fact that it tries to preach a law and justice mentality that is too overwrought to really say anything indeed the movie begins with underage sex being interrupted with bronson then anally raping the pedophile with a dildo the chicago theater i watched this in just gasped at the awkwardness of this scene only to gasp at the awkwardness of the pimp raping the girl in this film it has no point other than to exploit and really the movie wasn t well written enough to rise above the exploitation level and deliver something that would work bronson seems more into things but clearly this is far too repugnant to save i want to point out that i think charles bronson is the coolest actor ever but this effort is ultimately his worst the action sequences are poor also 1 2 out of 4 awful ,0
great screenplay and some of the best actors the world has ever produced montand gives the concept of the lone wolf police detective a whole new dimension of intensity and most importantly credibility when a typical hollywood cop heroe loses family friends and pets to murder he is usually given his minute of grief but when the sixty seconds are over he pulls himself together packs his gun and goes gleefully shooting up his enemies one by one montand s marc ferrot however is really devastated by his girlfriends murder of course but also by finding out that she had another lover in his confusion and wrath he does not seek revenge but needs to keep going to find the real perpetrator of a crime where his fingerprints are all over the scene thus all his actions become unescapably logical this is the main reason why this movie glues us to our seats but definetely not the only one ,1
oh my god i bought this movie and i watched the whole thing okay it s going to be alright i l know i ll be okay in a month or two some time soon i hope to be rid of the flash backs i was going to eat something after the movie but i just can t seem to get up the courage to try and hold any food down at the moment bad yes bad very bad bad bad bad bad bad wait bad doesn t seem to get the message across in quite the right way hmm there isn t a word to describe just how awful not awful hmm disgustingly horribly casted acted filmed directed written now i don t know what to do but throw it out possibly burn it i wouldn t want it to end up at the bottom of an architectural dig a thousand years from now the worst movie ever since hey happy ,0
i absolutely loved this soap it has been one of my favorite will highly recommend i just love brazilian soaps they deal with real life events i m really sad that the soap ended but i m sure i ll be able to find it somewhere for those of you who have not seen it please see it i loved the characters the plot and how things turned out in the end for the villains the only thing i would have changed is the end for xica and her long life love i can t wait to see it again and highly recommend it xica has been by far the best soap i have ever seen forget everything else go xica hope you all like it as well :) :),1
primary plot primary direction poor interpretation ,0
cat soup is a short anime based on the legendary manga nekojiru it won the award best short film at the 6th fantasia film festival and also won the excellence prize at japan s media arts festival when little kitten nyaako s soul is stolen by death she and her brother nyatta embark on a bizarre journey to get it back in the surreal dreamscape of the other side they encounter many fantastic characters and remarkable often disturbing adventures cat soup is an anime like nothing you ve ever seen it s hello kitty on acid it is very original stunningly beautiful and possess a great sense of strangeness and lyricism cat soup is very surrealistic there are no dialogue and sometimes cruel and gory so it is more an anime for adults than children they may not understand at all a great journey for those who get the chance to see this absolute masterpiece an must see ,1
one of the most unfairly maligned programmes of all time terry june was also one of the most popular sitcoms of the 70 s and 80 s it started life as happy ever after but when eric merriman decided he didn t want to write any more it changed into this hence the dropping of aunt lucy and the fletcher s becoming the medford s yes it was cosy domestic middle class stuff the plots ran the gamut of clichés from the boss coming to dinner the vicar organising a jumble sale and unwanted relatives coming to stay for the weekend it was certainly not dreadful lazy comedy as for it being not clever it was not meant to be it was funny and well performed and that was enough i too loved the alternative boom of the 80 s spitting image black adder the young ones etc but also enjoyed conventional stuff such as this if nothing else it provided alternative comedy with something to be an alternative to i found it sad though when the likes of ben elton took against both this and benny hill well family oriented comedy has all but vanished from our screens but where has it left us take a look at the latest t v schedules all soaps and reality dross the few comedies left are aimed at teenagers meaning they are jam packed with swearing bodily function jokes and explicit sexual references and they are not remotely funny either the alternative comedy boom was good in many ways but had a dark side it made conventional sitcoms appear old fashioned drove away talented writers and performers such as spike milligan and ultimately led to such unspeakable drivel as little britain and tittybangbang heaven help us if it ain t broke don t fix it ,1
when this cartoon first aired i was under the impression that it would be at least half way descent boy was i wrong i must admit watching this cartoon is almost as painful as watching batman and robin with george clooney all those years ago i watched a few episodes and two of them had batman literally get his ass kicked left and right by the penguin who fought like jet li and beat the crap out of batman and i watched another episode where batman got his butt kicked again by the joker who apparently was using jackie chan moves while flipping in the air like a ninja since when were the joker or the penguin ever a match for batman and worse yet when were joker and penguin kung fu counterparts of jackie chan and jet li it s truly embarrassing depressing and sad the way the image of batman is portrayed in this show the animation is awful and the dialog is terrible being a batman fan since my boyhood i can honestly and strongly advise you to stay away and avoid this show at all cost because it doesn t project the true image of batman this cartoon is more like a wannabe kung fu flick and if you really wanna see a classic batman cartoon i strongly recommend batman the animated series but this cartoon is nothing more than a piece of s t get batman the animates series and don t waste your time with this cartoon ,0
